0,jungle,none,snowflake,yellow,none,ordinary,none,kongminghat,book,Fan
1,strokes,butterfly,flyingcarpet,yellow,chestplate,ordinary,sunglasses,baseballcap,flagon,bread
2,jungle,parachute,surfboard,yellow,goldchain,ordinary,blackframedglasses,bamboohat,shield,magicwand
3,strokes,rainbow,none,fire,apron,cry-fire,heart,lotusleaf,shield,magicwand
4,grey,butterfly,surfboard,yellow,tie,cry,goggles,none,cake,barbecuefork
5,lightgrey,angelwing,none,brown,satchel,greedy,blackframedglasses,curse,none,pike
6,strokes,cloak,hotwheels,brown,beasttooth,cry,cyberglasses,star,handkerchief,crutch
7,blue,rainbow,ufo,pink,goldchain,cry,heart,nursecap,balloon,sword
8,green,rainbow,aerocraft,yellow,heartchain,pitiful,bandaid,lotusleaf,apple,goldencudgel
9,desert,cloak,leaf,yellow,tie,ordinary,cyberglasses,curse,balloon,spatula
10,green,devilwing,leaf,yellow,elfclothes,stupefied,goggles,cowboyhat,bucket,stick
11,red,parachute,ufo,yellow,medal,excited,monocleglasses,cowboyhat,none,lightsaber
12,grey,ribbon,surfboard,yellow,tie,ordinary,goggles,militarycap,book,Fan
13,blue,none,flyingcarpet,pink,tie,cry,heart,cowboyhat,book,magicwand
14,grey,parachute,flyingcarpet,yellow,crystal,pitiful,none,dragonfly,flagon,none
15,starrysky,parachute,flyingcarpet,brown,tie,ordinary,pearl,strawhat,flagon,sword
16,red,ribbon,none,pink,goldchain,ordinary,pearl,dragonfly,apple,Fan
17,ocean,rainbow,opencirrus,fire,satchel,ordinary-fire,bandaid,tophat,apple,crutch
18,red,rainbow,hotwheels,brown,tie,excited,goggles,kongminghat,handkerchief,fishingrod
19,grey,butterfly,hotwheels,brown,brooch,stupefied,cyberglasses,magichat,balloon,spatula
20,ocean,butterfly,aerocraft,pink,satchel,stupefied,heart,fairy,handkerchief,barbecuefork
21,blue,parachute,flyingcarpet,brown,elfclothes,cry,goggles,magichat,apple,broom
22,lightgrey,butterfly,birthdaycake,brown,beasttooth,excited,cyberglasses,cowboyhat,flagon,magicwand
23,grey,cloak,surfboard,fire,satchel,greedy-fire,goggles,cowboyhat,briefcase,Fan
24,grey,angelwing,magmatic,yellow,goldchain,greedy,pearl,baseballcap,magicbook,fishingrod
25,grey,parachute,hotwheels,yellow,apron,cry,cyberglasses,magichat,apple,Fan
26,grey,parachute,surfboard,brown,medal,pitiful,heart,curse,book,Fan
27,lightgrey,ribbon,flyingcarpet,yellow,apron,ordinary,goggles,birthdayhat,flagon,elfwand
28,grey,ribbon,ufo,pink,elfclothes,ordinary,planteyeglasses,militarycap,briefcase,goldencudgel
29,desert,rainbow,surfboard,brown,crystal,pitiful,planteyeglasses,bamboohat,shield,crutch
30,green,ribbon,none,brown,chestplate,stupefied,none,dragonfly,handkerchief,fishingrod
31,jungle,rainbow,ski,yellow,crystal,cry,bandaid,curse,briefcase,lightsaber
32,lightgrey,parachute,ufo,brown,crystal,ordinary,goggles,cowboyhat,briefcase,bread
33,starrysky,rainbow,skate,pink,chestplate,excited,heart,none,handkerchief,bread
34,ocean,butterfly,skate,pink,crystal,cry,cyberglasses,kongminghat,bucket,magicwand
35,desert,rainbow,skate,yellow,apron,greedy,goggles,fairy,briefcase,stick
36,red,rainbow,surfboard,brown,brooch,pitiful,bandaid,curse,magicbook,none
37,blue,ribbon,leaf,brown,goldchain,excited,blackframedglasses,nursecap,apple,stick
